id	chinese	pinyin	japanese	category	level	example1_speaker	example1_avatar	example1_expression	example1_chinese	example1_pinyin	example1_japanese	example2_speaker	example2_avatar	example2_expression	example2_chinese	example2_pinyin	example2_japanese	notes
phrase_0151	请问现在几点了？	Qǐngwèn xiànzài jǐ diǎn le?	すみません、今何時ですか？	daily	1	A	cat	normal	不好意思，请问现在几点了？	Bù hǎoyìsi, qǐngwèn xiànzài jǐ diǎn le?	すみません、今何時ですか？	B	dog	happy	现在是下午两点半。	Xiànzài shì xiàwǔ liǎng diǎn bàn.	今は午後2時半です。	「几(jǐ)」は数を聞く疑問詞。「点(diǎn)」は時間の「時」。「几点（何時）」は時間を尋ねる会話の最重要キーワードです。
phrase_0152	你明天几点起床？	Nǐ míngtiān jǐ diǎn qǐchuáng?	明日は何時に起きるんですか？	daily	1	A	me	normal	我们明天早上去跑步吧，你几点起床？	Wǒmen míngtiān zǎoshang qù pǎobù ba, nǐ jǐ diǎn qǐchuáng?	明日の朝、走りに行きましょうよ。何時に起きますか？	B	sensei	tired	我六点半起床。	Wǒ liù diǎn bàn qǐchuáng.	6時半に起きますよ。	「几点（何時）」は動詞の前に置かれます。予定や日課の時間を尋ねる最も一般的な形です。
phrase_0153	这个时候很忙。	Zhège shíhou hěn máng.	この時間はとても忙しいです。	daily	2	A	panda	sad	这个时候银行应该有很多人吧。	Zhège shíhou yínháng yīnggāi yǒu hěn duō rén ba.	この時間、銀行は人がたくさんいるでしょうね。	B	cat	normal	对，这个时候很忙，我们下午再去。	Duì, zhège shíhou hěn máng, wǒmen xiàwǔ zài qù.	うん、この時間はとても忙しいから午後にまた行こう。	「这个时候（この時）」は特定の時間帯やタイミングを指す時に使います。「那个时候（あの時）」とセットで使うことも多いです。
phrase_0154	快点准备一下。	Kuài diǎn zhǔnbèi yíxià.	急いで準備してね。	daily	1	A	cat	angry	快点准备一下！我们要迟到了！	Kuài diǎn zhǔnbèi yíxià! Wǒmen yào chídào le!	早く準備して！遅刻しちゃうわよ！	B	me	sad	马上就好，等我两分钟。	Mǎshàng jiù hǎo, děng wǒ liǎng fēnzhōng.	すぐ終わるから、2分待って。	「快（速い）」に「点（少し）」をつけて「早くして！」と急かす時の必須フレーズです。
phrase_0155	我马上就过去。	Wǒ mǎshàng jiù guòqù.	私、すぐに行きます。	daily	1	A	dog	normal	会议还有五分钟就开了，你在哪里？	Huìyì hái yǒu wǔ fēnzhōng jiù kāi le, nǐ zài nǎlǐ?	会議はあと5分で始まりますが、どこにいますか？	B	panda	tired	我马上就过去。	Wǒ mǎshàng jiù guòqù.	私、すぐに行きます。	「马上（馬の上で）」で「すぐに」という意味。相手を待たせている時や、行動を急がせる時に「就（もう・すぐに）」を伴ってよく使われます。
phrase_0156	请你等一下。	Qǐng nǐ děng yíxià.	ちょっと待ってください。	daily	1	A	sensei	normal	请把文件交给我。	Qǐng bǎ wénjiàn jiāo gěi wǒ.	書類を私に渡してください。	B	me	happy	请你等一下，我还没签名。	Qǐng nǐ děng yíxià, wǒ hái méi qiānmíng.	ちょっと待ってください、まだサインしてないんです。	「等（待つ）」＋「一下（少しの動作）」。ビジネスやお店などでより丁寧に言いたい時は「请稍等(Qǐng shāoděng)」になります。
phrase_0157	今天天气真好。	Jīntiān tiānqì zhēn hǎo.	今日は本当に天気がいいね。	daily	1	A	cat	happy	你看，今天天气真好。	Nǐ kàn, jīntiān tiānqì zhēn hǎo.	見て、今日は本当に天気がいいね。	B	dog	happy	是啊，我们出去走走吧。	Shì a, wǒmen chūqù zǒuzou ba.	そうだね、ちょっと散歩しに出かけよう。	「今天（今日）」を使った最も頻出の挨拶がわりのフレーズ。直訳は「今日の天気は実に良い」です。
phrase_0158	你明天有空吗？	Nǐ míngtiān yǒu kòng ma?	あなたは明日、時間がありますか？	daily	1	A	panda	normal	你明天有空吗？我想请你吃饭。	Nǐ míngtiān yǒu kòng ma? Wǒ xiǎng qǐng nǐ chīfàn.	明日時間ある？ご飯をご馳走したいんだけど。	B	me	sad	明天不行，我要出差。	Míngtiān bù xíng, wǒ yào chūchāi.	明日はだめ、出張なんだ。	「明日（あす）の天（そら）」。未来の予定を聞くときの超基本文。別れ際の挨拶「明天见（また明日）」もセットで覚えましょう。
phrase_0159	我昨天去看电影了。	Wǒ zuótiān qù kàn diànyǐng le.	昨日映画を見に行きました。	daily	1	A	sensei	normal	你昨天去哪里了？	Nǐ zuótiān qù nǎlǐ le?	昨日どこに行ったの？	B	cat	happy	我昨天和朋友去看电影了。	Wǒ zuótiān hé péngyou qù kàn diànyǐng le.	昨日友達と映画を見に行きました。	時間詞「昨天（昨日）」は主語の後ろ（または文頭）に置きます。過去の話なので文末に完了・変化の「了(le)」が付くのが特徴です。
phrase_0160	早上好，吃饭了吗？	Zǎoshang hǎo, chīfàn le ma?	おはようございます、ご飯食べましたか？	greeting	1	A	dog	happy	早上好，吃饭了吗？	Zǎoshang hǎo, chīfàn le ma?	おはようございます、ご飯食べましたか？	B	panda	normal	吃过了，你呢？	Chī guò le, nǐ ne?	食べましたよ、あなたは？	中国独自の挨拶である「ご飯食べた？」を朝の挨拶「早上好」にくっつけた、最もネイティブらしい出勤時の会話です。
phrase_0161	中午我们吃什么？	Zhōngwǔ wǒmen chī shénme?	お昼は何を食べる？	daily	1	A	me	happy	肚子饿了，中午我们吃什么？	Dǔzi è le, zhōngwǔ wǒmen chī shénme?	お腹が空いたね、お昼は何を食べる？	B	cat	happy	去吃公司楼下的牛肉面吧。	Qù chī gōngsī lóuxià de niúròumiàn ba.	会社の下にある牛肉麺を食べに行こうよ。	12時前後のお昼時間になると、オフィスや学校で毎日交わされる定番のランチミーティングフレーズです。
phrase_0162	会议在下午两点。	Huìyì zài xiàwǔ liǎng diǎn.	会議は午後2時です。	business	1	A	panda	normal	请问今天的会议在下午两点吗？	Qǐngwèn jīntiān de huìyì zài xiàwǔ liǎng diǎn ma?	今日の会議は午後2時ですか？	B	sensei	normal	对，会议在下午两点，别迟到。	Duì, huìyì zài xiàwǔ liǎng diǎn, bié chídào.	はい、会議は午後2時です、遅刻しないで。	午後の予定を確認するビジネスでの必須表現。「下午（午後）」は時間を修飾するため、「两点（2時）」の前に置かれます。
phrase_0163	你晚上一般做什么？	Nǐ wǎnshang yìbān zuò shénme?	普段、夜は何をして過ごしているんですか？	daily	1	A	dog	tired	我晚上经常失眠。你晚上一般做什么？	Wǒ wǎnshang jīngcháng shīmián. Nǐ wǎnshang yìbān zuò shénme?	夜、なかなか眠れないんです。普段は何をして過ごしていますか？	B	me	happy	我喜欢在睡前听听音乐。	Wǒ xǐhuan zài shuìqián tīngting yīn yuè.	私は寝る前に音楽を聴くのが好きなんです。	日没後の時間帯の話。「晚上好（こんばんは）」という挨拶とともに、ライフスタイルを語る時によく使う表現です。
phrase_0164	祝你周末愉快哦！	Zhù nǐ zhōumò yúkuài o!	良い週末を！	business	1	A	cat	happy	工作都做完了，我先下班了。	Gōngzuò dōu zuò wán le, wǒ xiān xiàbān le.	仕事も全部終わったし、先にお疲れ様。	B	panda	happy	好的，祝你周末愉快哦！	Hǎo de，zhù nǐ zhōumò yúkuài o!	うん、良い週末を過ごしてね！	金曜日の退社時などに、職場の人や友人に投げる一番ハッピーな挨拶フレーズです。
