id	chinese	pinyin	japanese	category	level	example1_speaker	example1_avatar	example1_expression	example1_chinese	example1_pinyin	example1_japanese	example2_speaker	example2_avatar	example2_expression	example2_chinese	example2_pinyin	example2_japanese	notes
phrase_976	你疯了吗？	Nǐ fēng le ma?	正気ですか？（頭おかしくなったの？）	basic	1	A	猫	普通	我想辞职去流浪。	Wǒ xiǎng cízhí qù liúlàng.	仕事辞めて、あてもなく放浪の旅に出ようかな。	B	私	驚く	你疯了吗？	Nǐ fēng le ma?	正気！？頭おかしくなったの？	信じられないような無謀な計画や、突拍子もない発言に対して「正気か？」「狂ってる」と驚愕する（あるいはツッコミを入れる）時の激しい表現です。
phrase_977	我没听清。	Wǒ méi tīng qīng.	よく聞き取れませんでした。	basic	1	A	犬	普通	今晚吃…吧。	Jīnwǎn chī... ba.	今夜は…食べようか。	B	私	普通	我没听清。	Wǒ méi tīng qīng.	よく聞き取れませんでした。	相手の声が聞こえなかったり、内容が曖昧だった時に素直に聞き返す表現です。
phrase_978	请再说一遍。	Qǐng zài shuō yí biàn.	もう一度言ってください。	basic	1	A	先生	普通	今天的作业是阅读第二课。	Jīntiān de zuòyè shì yuèdú dì èr kè.	今日の宿題は第2課を読むことです。	B	私	普通	请再说一遍。	Qǐng zài shuō yí biàn.	もう一度言ってください。	聞き取れなかったことや、確認のためにもう一度言ってほしいと丁寧に頼むフレーズです。
phrase_979	你明白吗？	Nǐ míngbai ma?	分かりますか？	basic	1	A	先生	普通	这就是这道题的解法。	Zhè jiù shì zhè dào tí de jiěfǎ.	これがこの問題の解き方です。	B	私	普通	你明白吗？	Nǐ míngbai ma?	分かりますか？	相手が自分の言っていることを理解したかを確認するための声かけです。
phrase_980	我懂了。	Wǒ dǒng le.	分かりました。	basic	1	A	犬	普通	所以按这里就可以启动了。	Suǒyǐ àn zhèlǐ jiù kěyǐ qǐdòng le.	だから、ここを押せば起動するんだよ。	B	私	笑う	我懂了。	Wǒ dǒng le.	分かりました。	納得したり、相手の説明をしっかり理解したことを伝える返事です。
phrase_981	别理他。	Bié lǐ tā.	放っておきなさい。	basic	1	A	猫	怒る	他总是说我的坏话。	Tā zǒng shì shuō wǒ de huàihuà.	彼、いつも私の悪口ばかり言うの。	B	私	普通	别理他。	Bié lǐ tā.	放っておきなさい。	嫌なことや関わらないほうがいい相手に対して、「無視しなよ」とアドバイスする言葉。
phrase_982	好主意。	Hǎo zhǔyì.	いい考えだね。	basic	1	A	パンダ	普通	不如我们去海边玩吧。	Bùrú wǒmen qù hǎibiān wán ba.	海に遊びに行くのはどう？	B	私	笑う	好主意。	Hǎo zhǔyì.	いい考えだね。	相手の素晴らしい提案やアイデアに大賛成する、ポジティブな相槌です。
phrase_983	我想也是。	Wǒ xiǎng yě shì.	私もそう思う。	basic	1	A	猫	普通	他今天可能不来了吧。	Tā jīntiān kěnéng bù lái le ba.	彼、今日は来ないかもしれないね。	B	私	普通	我想也是。	Wǒ xiǎng yě shì.	私もそう思う。	相手の予想や考えを聞いて、自分も同じ意見であることを表す穏やかな同意です。
phrase_984	我也是。	Wǒ yě shì.	私もです。	basic	1	A	犬	普通	我好喜欢这部电影啊。	Wǒ hǎo xǐhuan zhè bù diànyǐng a.	私、この映画大好きなんだ。	B	私	笑う	我也是。	Wǒ yě shì.	私もです。	自分の気持ちや状態が相手と全く同じである時に使う、とても簡単な共感フレーズ。
phrase_985	算了吧。	Suàn le ba.	もういいよ。	basic	1	A	パンダ	普通	要不然我再给你讲一遍？	Yàobùrán wǒ zài gěi nǐ jiǎng yí biàn?	もう一回説明してあげようか？	B	私	普通	算了吧。	Suàn le ba.	もういいよ。	期待外れだったことや面倒なことに対して「もう諦めよう」「気にしないで」という時の一言。
