id	chinese	pinyin	japanese	category	level	example1_speaker	example1_avatar	example1_expression	example1_chinese	example1_pinyin	example1_japanese	example2_speaker	example2_avatar	example2_expression	example2_chinese	example2_pinyin	example2_japanese	notes
phrase_1001	请给我一张去北京的单程票。	Qǐng gěi wǒ yī zhāng qù Běijīng de dānchéng piào.	北京までの片道切符を1枚お願いします。	transport	1	A	me	normal	你好，请给我一张去北京 की 单程票。	Nǐhǎo, qǐng gěi wǒ yī zhāng qù Běijīng de dānchéng piào.	こんにちは、北京までの片道切符を1枚お願いします。	B	dog	normal	好的，请出示您的身份证。	Hǎo de, qǐng chūshì nín de shēnfènzhèng.	はい、身分証（パスポート等）をご提示ください。	「单程票」は片道切符のことです。「去[場所]の」で「[場所]へ行く〜」となります。中国の鉄道（高铁など）では身分証（外国人はパスポート）の提示が必須です。
phrase_1002	到北京的车票多少钱？	Dào Běijīng de chēpiào duōshao qián?	北京までの運賃はいくらですか？	transport	1	A	cat	normal	请问到北京的车票多少钱？	Qǐngwèn dào Běijīng de chēpiào duōshao qián?	すみません、北京までの切符はいくらですか？	B	sensei	normal	二等座大概五百块。	Èrděng zuò dàgài wǔbǎi kuài.	二等席でだいたい500元です。	「多少钱」で値段を尋ねます。「到[場所]的」で「[場所]までの〜」という意味になります。
phrase_1003	买往返票有打折吗？	Mǎi wǎngfǎn piào yǒu dǎzhé ma?	往復割引はありますか？	transport	1	A	me	normal	我打算明天回来。买往返票有打折吗？	Wǒ dǎsuàn míngtiān huílái. Mǎi wǎngfǎn piào yǒu dǎzhé ma?	明日戻る予定です。往復切符を買うと割引はありますか？	B	panda	normal	不好意思，高铁没有往返优惠。	Bù hǎoyìsi, gāotiě méiyǒu wǎngfǎn yōuhuì.	申し訳ありません、高速鉄道には往復割引はありません。	「往返票」は往復切符のこと。「打折」は「割引する」という動詞です。
phrase_1004	有一日票或二十四小时票吗？	Yǒu yī rì piào huò èrshísì xiǎoshí piào ma?	一日券や24時間券はありますか？	transport	1	A	cat	normal	您好，有一日票或二十四小时票吗？	Nínhǎo, yǒu yī rì piào huò èrshísì xiǎoshí piào ma?	こんにちは、一日乗車券か24時間券はありますか？	B	dog	normal	有的，一日票二十块钱。	Yǒu de, yī rì piào èrshí kuài qián.	ありますよ。一日券は20元です。	地下鉄（地铁）やバスなどで、観光客向けの乗り放題パス（一日票）があるか尋ねる際に使います。
phrase_1005	请问在哪个站台坐车？	Qǐngwèn zài nǎge zhàntái zuòchē?	どのホームから乗ればいいですか？	transport	1	A	me	normal	我的车快开了，请问在哪个站台坐车？	Wǒ de chē kuài kāi le, qǐngwèn zài nǎge zhàntái zuòchē?	もうすぐ発車してしまいます、どのホームから乗るんですか？	B	sensei	normal	五号站台，在这边下楼。	Wǔ hào zhàntái, zài zhèbiān xiàlóu.	5番ホームです。ここから階段を降りてください。	「站台」がプラットホームのことです。駅員や案内所に場所を聞きたいときに便利です。
phrase_1006	这张票能坐快车吗？	Zhè zhāng piào néng zuò kuàichē ma?	この切符で急行に乗れますか？	transport	1	A	cat	normal	不好意思，这张票能坐快车吗？	Bù hǎoyìsi, zhè zhāng piào néng zuò kuàichē ma?	すみません、この切符で急行電車に乗れますか？	B	panda	normal	不行，这只能坐普通列车。	Bùxíng, zhè zhǐ néng zuò pǔtōng lièchē.	ダメです、これは普通列車専用です。	「快车」は急行・快速など速い電車を指します。「能坐〜吗」で「〜に乗れますか？」となります。
phrase_1007	可以免费换乘吗？	Kěyǐ miǎnfèi huànchéng ma?	無料で乗り換えできますか？	transport	1	A	me	normal	我想转地铁。可以免费换乘吗？	Wǒ xiǎng zhuǎn dìtiě. Kěyǐ miǎnfèi huànchéng ma?	地下鉄に乗り換えたいのですが、無料で乗り換えできますか？	B	dog	normal	两小时内换乘是免费的。	Liǎng xiǎoshí nèi huànchéng shì miǎnfèi de.	2時間以内の乗り換えなら無料です。	「换乘」が乗り換えの意味です。バスから地下鉄などへ移動する際の料金を確認する表現です。
phrase_1008	这张票可以退吗？	Zhè zhāng piào kěyǐ tuì ma?	この切符は払い戻しできますか？	transport	1	A	cat	normal	我临时有事。这张票可以退吗？	Wǒ línshí yǒushì. Zhè zhāng piào kěyǐ tuì ma?	急用ができました。この切符は払い戻しできますか？	B	sensei	normal	可以，但要收百分之二十的手续费。	Kěyǐ, dàn yào shōu bǎifēn zhī èrshí de shǒuxùfèi.	できますが、20%の手数料がかかります。	「退票（tuìpiào）」はチケットの払い戻し・キャンセルのことです。
phrase_1009	可以刷卡或用手机支付吗？	Kěyǐ shuākǎ huò yòng shǒujī zhīfù ma?	カード支払いやスマホ決済は使えますか？	transport	1	A	me	normal	我没带现金。可以刷卡或用手机支付吗？	Wǒ méi dài xiànjīn. Kěyǐ shuākǎ huò yòng shǒujī zhīfù ma?	現金を持っていません。カードやスマホで払えますか？	B	panda	normal	没问题，微信或支付宝都可以。	Méiwèntí, Wēixìn huò Zhīfùbǎo dōu kěyǐ.	問題ないですよ、WeChatもAlipayも使えます。	中国ではスマホ決済が主流です。「手机支付（スマホ決済）」は必須フレーズです。
phrase_1010	上车前需要检票吗？	Shàngchē qián xūyào jiǎnpiào ma?	乗車前に改札は必要ですか？	transport	1	A	cat	normal	请问，上车前需要检票吗？	Qǐngwèn, shàngchē qián xūyào jiǎnpiào ma?	すみません、乗る前に切符の確認は必要ですか？	B	dog	normal	对，你需要先刷身份证进站。	Duì, nǐ xūyào xiān shuā shēnfènzhèng jìnzhàn.	はい、まず身分証をかざして改札を通る必要があります。	「检票」は切符を切る・確認するという意味です。駅の改札機を通る前によく使います。
